"simid","cluster_idx","nc","n_rita","IT_growth","IT_rita","IT_growth_calculated","earliest_rita_detection","trigger_seq_time","time_saved_days","rita_faster"
1093,1,12,4,4325.96895088116,2516.08911806088,3411.14451613098,2488.08911806088,3383.14451613098,1809.87983282028,TRUE
1371,2,16,4,4338.22829580071,258.387494606741,3016.45590581549,230.387494606741,2988.45590581549,4079.84080119397,TRUE
1996,3,14,3,2810.70534269098,1156.54002941895,1967.00164032628,1128.54002941895,1939.00164032628,1654.16531327203,TRUE
2805,4,7,5,871.771817134517,779.613188708399,855.230311822744,751.613188708399,827.230311822744,92.158628426118,TRUE
3247,5,12,1,4125.05101422869,4787.52451409905,2974.58986325729,4759.52451409905,2946.58986325729,-662.473499870362,FALSE
3972,6,13,3,2617.44035337194,1198.95816897108,1813.50139756908,1170.95816897108,1785.50139756908,1418.48218440086,TRUE
4803,7,9,2,2086.81009016474,245.836602179052,1921.75245069512,217.836602179052,1893.75245069512,1840.97348798569,TRUE
5835,8,23,3,3553.89686041754,715.811363657914,1111.76322417108,687.811363657914,1083.76322417108,2838.08549675963,TRUE
6243,9,10,2,1402.12673677043,975.337817513228,1126.02932974145,947.337817513228,1098.02932974145,426.788919257202,TRUE
7397,10,17,2,2695.95343015861,1173.60020407127,1744.21229640912,1145.60020407127,1716.21229640912,1522.35322608734,TRUE
8314,11,13,3,2747.04577339136,1174.78823861499,1577.18082967251,1146.78823861499,1549.18082967251,1572.25753477637,TRUE
9028,12,16,4,4438.80800574263,2776.40494884201,3361.64151734612,2748.40494884201,3333.64151734612,1662.40305690061,TRUE
9509,13,5,1,1580.84694455726,2031.85087838489,1580.84694455726,2003.85087838489,1552.84694455726,-451.00393382763,FALSE
9655,14,29,3,4738.08005147262,2969.85907484861,3221.00088197969,2941.85907484861,3193.00088197969,1768.22097662401,TRUE
