pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0,791.6441128589181,765.4589648019005,0.0,0,1,2,0.0004932382600700393,1
0.1,4012.617797286569,3983.048449769689,498.67955573165983,1,1,3,0.011011569082050116,1
0.2,1830.0890581083156,1815.0889255609125,688.0692871163072,1,1,1,0.03753126658648655,1
0.1.1,Inf,1817.704405685425,961.9761543976848,2,0,2,4.212630053799864e-6,1
0.1.2,1690.3159767739116,1672.10942754324,1640.6989988097343,2,1,1,0.13463909281554212,1
0.1.3,Inf,2745.6704967877895,1743.0543127809544,2,2,1,0.06089599632065977,1
0.2.1,Inf,2322.9815837517126,904.7024971603824,2,1,0,6.319876320668179e-5,1
0.1.2.1,2441.578669104895,2440.9493507294023,1703.2404370822037,3,1,0,1.0716948563632356e-5,1
0,466.73599425396355,459.6657909906012,0.0,0,1,3,0.000489811218326264,2
0,2045.6208981577226,2007.095045560509,0.0,0,1,1,0.09432254534506006,3
0.1,1047.8429512197959,1047.398505066331,249.81099372263446,1,1,1,3.758634593870034e-8,3
0.2,1466.216377037911,1445.1951420798607,323.76330812928535,1,2,0,0.0008837730730908546,3
0.1.1,1056.9139577640358,1056.5487725310486,877.5769101438585,2,1,1,0.0037227562175628425,3
0.1.1.1,1280.9321949918685,1275.7082273128249,967.4658630857737,3,1,0,0.00018149137185512402,3
0,953.767211172132,953.5325041393669,0.0,0,1,1,2.5200314692155546e-5,4
0,3107.876494575539,3090.177096221305,0.0,0,0,3,7.007289007588488e-5,5
0.1,1596.7516838504919,1569.1477948430584,7.12290070317029,1,1,3,0.009791642839877884,5
0.2,1260.536186658444,1218.4287944656573,409.9109502021167,1,0,2,0.07001817843390643,5
0.1.1,667.6931589519497,632.7810754750478,521.8472966129112,2,0,2,0.0005520816642935662,5
0.1.2,3201.93003048332,3190.89333363461,774.5678751730673,2,0,3,1.0619718156959276e-5,5
0.1.2.1,2408.096509134648,2387.174124971038,1469.4164307470196,3,0,3,0.11702850094867225,5
0.1.2.2,2595.6653710010683,2585.9397935825305,2368.4240211621036,3,0,2,0.00021181468713390026,5
0.1.2.2.1,5568.912917243744,5557.326677815563,2444.3709645669014,4,1,1,0.00014177858634156426,5
0,2070.3269555608786,2062.045852761103,0.0,0,1,1,0.010543461122080924,6
0.1,190.6459360919306,177.60191443277444,135.28530593084122,1,1,3,0.0030766154898143375,6
0.2,2341.86243051576,2339.2325186843063,1663.6518363766152,1,1,1,0.009901279471669421,6
0,1302.360844320017,1300.674523883285,0.0,0,0,1,0.0009401496019517771,7
0.1,1749.7463151845925,1727.1173037863446,178.0284276065479,1,0,3,0.002692658350746755,7
0,Inf,1923.4308599271376,0.0,0,0,3,0.02384709331044729,8
0.1,1532.7445288301328,1505.937335615251,88.88734156608612,1,1,2,0.038641188436760524,8
0.1.1,1498.7675412053445,1459.445817006924,393.0819692273251,2,0,1,0.027343990469997432,8
0,1192.972778154395,1186.6618582996052,0.0,0,1,2,0.036960972662306586,9
0.1,1872.5824106728971,1871.981886035504,140.58533648540563,1,1,3,0.010831301771712001,9
0.1.1,3070.5861822172087,3043.2525863248534,243.3376757975854,2,1,2,0.019582254554660353,9
0.1.2,2521.4848602669695,2460.44742564332,972.5957165202852,2,0,1,0.06123402312958807,9
0.1.1.1,2290.3123580518413,2273.8869010505027,262.8341823749882,3,1,1,0.016227713963048476,9
0.1.1.2,4135.047156078026,4119.246518580102,2047.4266335228442,3,1,1,0.010961363133650228,9
0.1.2.1,4364.4847758717115,4342.234609048471,1315.3495934842708,3,1,0,0.05163870931397349,9
0.1.2.1.1,Inf,3357.8083311899854,1988.5904991286557,4,1,0,0.07934148087874726,9
0,Inf,2650.9566942437523,0.0,0,0,1,0.0002449469567493158,10
